Startbahnhof;Zugnummer;Zielbahnhof;Ankunft_Plan;Ankunft_tatsächlich;Verspätung
Hamm(Westf)Hbf;RE 1 (26834);Köln Hbf;31.05.2025, 22:12;01.06.2025, 00:03;112
Bedburg(Erft);RB 38 (10289);Köln Hbf;01.06.2025, 01:28;01.06.2025, 03:58;150
Aachen Hbf;RE 1 (26845);Köln Hbf;01.06.2025, 01:44;01.06.2025, 03:52;129
Hamm(Westf)Hbf;RE 1 (26800);Köln Hbf;01.06.2025, 05:12;01.06.2025, 06:26;75
Hamm(Westf)Hbf;RE 1 (26810);Köln Hbf;01.06.2025, 10:12;01.06.2025, 11:13;62
Koblenz Hbf;RB 26 (25432);Köln Hbf;02.06.2025, 18:02;02.06.2025, 19:15;73
Hamm(Westf)Hbf;RE 1 (26838);Köln Hbf;03.06.2025, 00:12;03.06.2025, 01:38;87
Hamm(Westf)Hbf;RE 1 (26802);Köln Hbf;03.06.2025, 06:12;03.06.2025, 07:37;86
Euskirchen;RB 24 (10448);Köln Hbf;03.06.2025, 21:12;03.06.2025, 22:20;68
Trier Hbf;RE 12 (4188);Köln Hbf;03.06.2025, 21:56;03.06.2025, 23:16;80
Friedrichsfeld(Niederrhein);RE 5 (28533);Köln Hbf;04.06.2025, 21:29;04.06.2025, 22:46;78
Friedrichsfeld(Niederrhein);RE 5 (28535);Köln Hbf;04.06.2025, 22:29;04.06.2025, 23:33;64
Bonn-Mehlem;RB 48 (17354);Köln Hbf;05.06.2025, 17:22;05.06.2025, 18:34;72
Krefeld Hbf;RE 28546 (28546);Köln Hbf;05.06.2025, 17:18;05.06.2025, 18:58;101
Euskirchen;RE 22 (10054);Köln Hbf;05.06.2025, 21:39;05.06.2025, 22:39;60
Koblenz Hbf;RE 5 (28536);Köln Hbf;05.06.2025, 22:28;05.06.2025, 23:55;88
Koblenz Hbf;RE 5 (28538);Köln Hbf;05.06.2025, 23:28;06.06.2025, 01:19;111
Koblenz Hbf;RB 26 (25444);Köln Hbf;06.06.2025, 00:02;06.06.2025, 01:23;81
Hamm(Westf)Hbf;RE 1 (26826);Köln Hbf;06.06.2025, 18:12;06.06.2025, 20:30;138
Koblenz Hbf;RE 5 (28508);Köln Hbf;08.06.2025, 08:28;08.06.2025, 09:55;88
Friedrichsfeld(Niederrhein);RE 5 (28531);Köln Hbf;08.06.2025, 20:29;08.06.2025, 21:53;85
Mönchengladbach Hbf;RB 27 (10647);Köln Hbf;09.06.2025, 01:35;09.06.2025, 02:45;71
Hamm(Westf)Hbf;RE 1 (26836);Köln Hbf;09.06.2025, 23:12;10.06.2025, 00:19;68
Friedrichsfeld(Niederrhein);RE 5 (28533);Köln Hbf;10.06.2025, 21:29;10.06.2025, 22:39;70
Krefeld Hbf;TRI RE7 (89453);Köln Hbf;11.06.2025, 00:18;11.06.2025, 01:39;81
Aachen Hbf;RE 1 (26841);Köln Hbf;11.06.2025, 23:44;12.06.2025, 00:44;61
Aachen Hbf;RE 1 (26843);Köln Hbf;12.06.2025, 00:44;12.06.2025, 01:53;69
Mönchengladbach Hbf;RB 27 (10645);Köln Hbf;12.06.2025, 00:35;12.06.2025, 01:54;80
Siegen Hbf;RE 9 (10916);Köln Hbf;13.06.2025, 13:36;13.06.2025, 14:51;75
Krefeld Hbf;RE 7 (17422);Köln Hbf;13.06.2025, 15:18;13.06.2025, 16:19;61
Mönchengladbach Hbf;RB 27 (10629);Köln Hbf;13.06.2025, 16:35;13.06.2025, 17:37;63
Aachen Hbf;RE 1 (26827);Köln Hbf;13.06.2025, 16:43;13.06.2025, 17:45;62
Koblenz Hbf;RE 5 (28524);Köln Hbf;13.06.2025, 16:28;13.06.2025, 18:00;92
Hamm(Westf)Hbf;RE 1 (26822);Köln Hbf;13.06.2025, 16:12;13.06.2025, 18:17;125
Hamm(Westf)Hbf;RE 1 (26824);Köln Hbf;13.06.2025, 17:12;13.06.2025, 18:15;63
Bielefeld Hbf;RE 6 (89726);Köln Hbf;13.06.2025, 17:50;13.06.2025, 18:59;70
Mainz Hbf;RB 26 (25432);Köln Hbf;13.06.2025, 18:02;13.06.2025, 19:25;83
Köln Messe/Deutz;RB 26 (25437);Köln Hbf;13.06.2025, 18:53;13.06.2025, 19:53;60
Hamm(Westf)Hbf;RE 1 (26828);Köln Hbf;13.06.2025, 19:12;13.06.2025, 20:15;64
Köln Messe/Deutz;RE 22 (10057);Köln Hbf;13.06.2025, 19:18;13.06.2025, 20:28;70
Krefeld Hbf;RE 7 (17430);Köln Hbf;13.06.2025, 19:18;13.06.2025, 20:30;72
Friedrichsfeld(Niederrhein);RE 5 (28529);Köln Hbf;13.06.2025, 19:29;13.06.2025, 20:52;83
Köln Messe/Deutz;RB 26 (25439);Köln Hbf;13.06.2025, 19:53;13.06.2025, 21:05;73
Wuppertal-Oberbarmen;RB 48 (17365);Köln Hbf;13.06.2025, 20:05;13.06.2025, 21:19;74
Koblenz Hbf;RE 5 (28536);Köln Hbf;13.06.2025, 22:28;13.06.2025, 23:46;79
Hamm(Westf)Hbf;RE 1 (26810);Köln Hbf;14.06.2025, 10:12;14.06.2025, 11:28;77
Oberhausen Hbf;RE 5 (28511);Köln Hbf;14.06.2025, 10:29;14.06.2025, 11:42;74
Münster(Westf)Hbf;RE 7 (17411);Köln Hbf;14.06.2025, 10:38;14.06.2025, 11:43;66
Krefeld Hbf;RE 7 (17414);Köln Hbf;14.06.2025, 11:18;14.06.2025, 12:21;64
Hamm(Westf)Hbf;RE 1 (26820);Köln Hbf;14.06.2025, 15:12;14.06.2025, 16:21;69
Minden(Westf);RE 6 (89722);Köln Hbf;14.06.2025, 15:50;14.06.2025, 16:58;68
Innsbruck Hbf;UEX 330 (330);Köln Hbf;15.06.2025, 06:15;15.06.2025, 07:21;67
Münster(Westf)Hbf;RE 7 (17407);Köln Hbf;15.06.2025, 08:38;15.06.2025, 10:07;89
Münster(Westf)Hbf;RE 7 (17409);Köln Hbf;15.06.2025, 09:38;15.06.2025, 11:08;91
Münster(Westf)Hbf;RE 7 (17427);Köln Hbf;15.06.2025, 18:38;15.06.2025, 21:12;154
Münster(Westf)Hbf;RE 7 (17405);Köln Hbf;16.06.2025, 07:38;16.06.2025, 08:44;66
Koblenz Hbf;RB 27 (10612);Köln Hbf;16.06.2025, 11:22;16.06.2025, 12:23;62
Troisdorf;RB 27 (70290);Köln Hbf;16.06.2025, 14:22;16.06.2025, 15:27;66
Koblenz Hbf;RE 5 (28526);Köln Hbf;16.06.2025, 17:28;16.06.2025, 18:29;62
Koblenz Hbf;RE 5 (28528);Köln Hbf;16.06.2025, 18:28;16.06.2025, 20:14;107
Koblenz Hbf;RE 5 (28530);Köln Hbf;16.06.2025, 19:28;16.06.2025, 20:34;66
Bonn-Mehlem;RB 48 (17362);Köln Hbf;16.06.2025, 19:22;16.06.2025, 20:40;79
Mainz Hbf;RB 26 (25436);Köln Hbf;16.06.2025, 20:02;16.06.2025, 21:13;72
Hamm(Westf)Hbf;RE 1 (26820);Köln Hbf;17.06.2025, 15:12;17.06.2025, 16:43;91
Krefeld Hbf;TRI RE7 (89457);Köln Hbf;17.06.2025, 23:18;18.06.2025, 01:04;107
Krefeld Hbf;TRI RE7 (89453);Köln Hbf;18.06.2025, 00:18;18.06.2025, 01:27;69
Friedrichsfeld(Niederrhein);RE 5 (28509);Köln Hbf;18.06.2025, 09:29;18.06.2025, 11:55;146
Friedrichsfeld(Niederrhein);RE 5 (28533);Köln Hbf;18.06.2025, 21:29;18.06.2025, 22:29;61
Hamm(Westf)Hbf;RE 1 (26804);Köln Hbf;19.06.2025, 07:12;19.06.2025, 08:14;63
Köln Messe/Deutz;RE 1 (26856);Köln Hbf;19.06.2025, 22:40;20.06.2025, 00:02;82
Koblenz Hbf;RE 5 (28520);Köln Hbf;21.06.2025, 14:28;21.06.2025, 15:30;62
Brühl;RB 48 (17350);Köln Hbf;21.06.2025, 16:22;21.06.2025, 17:29;68
Krefeld Hbf;RE 7 (17426);Köln Hbf;21.06.2025, 17:18;21.06.2025, 18:32;74
